n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,direction,threshold,dynamic_sizing,ewma,fee_aware,late_entry_frac
1521,0.07166337935568705,-0.4302405253798433,4.603158409841257,13.0,-219.3746170327473,271.6071428571429,YES,0.15,False,False,False,0.0
1473,0.06313645621181263,-0.43876744852371774,4.56577590469854,13.0,-221.90553351533327,263.0357142857143,YES,0.15,False,False,False,0.25
1462,0.060191518467852256,-0.4417123862676781,4.561990013793333,13.0,-223.20969176735684,261.0714285714286,YES,0.15,False,False,False,0.33
1281,0.07181889149102264,-0.43008501324450776,4.831598105213415,13.0,-230.17823280806962,228.75000000000003,YES,0.15,False,False,True,0.0
1237,0.06224737267582862,-0.43965653205970173,4.79109741668461,13.0,-233.32843661314172,220.89285714285717,YES,0.15,False,False,True,0.25
1227,0.05867970660146699,-0.4432241981340634,4.787559677544184,13.0,-235.0481315924488,219.10714285714286,YES,0.15,False,False,True,0.33
1495,0.06488294314381271,-0.43702096159171766,4.586902333330969,13.0,-222.04495035023194,266.9642857142857,YES,0.15,False,True,False,0.0
1450,0.05655172413793103,-0.44535218059759935,4.549355901025749,13.0,-224.42572476956758,258.92857142857144,YES,0.15,False,True,False,0.25
1441,0.05412907702984039,-0.44777482770569,4.5456198001514325,13.0,-225.46125668252833,257.3214285714286,YES,0.15,False,True,False,0.33
1262,0.06656101426307448,-0.4353428904724559,4.808902617629415,13.0,-231.8977734158048,225.35714285714286,YES,0.15,False,True,True,0.0
1219,0.05660377358490566,-0.4453001311506247,4.769973518557512,13.0,-235.28158154569851,217.67857142857144,YES,0.15,False,True,True,0.25
1211,0.053674649050371594,-0.44822925568515876,4.7661578018936215,13.0,-236.63978186076446,216.25,YES,0.15,False,True,True,0.33
1521,0.07166337935568705,-0.4302405253798433,8.690447256824433,13.0,-414.164225748402,271.6071428571429,YES,0.15,True,False,False,0.0
1473,0.06313645621181263,-0.43876744852371774,8.608805964791335,13.0,-418.4046086408039,263.0357142857143,YES,0.15,True,False,False,0.25
1462,0.060191518467852256,-0.4417123862676781,8.601609479094483,13.0,-420.8607635542343,261.0714285714286,YES,0.15,True,False,False,0.33
1281,0.07181889149102264,-0.43008501324450776,9.327163660044791,13.0,-444.34781238617234,228.75000000000003,YES,0.15,True,False,True,0.0
1237,0.06224737267582862,-0.43965653205970173,9.241072329700625,13.0,-450.0440654387866,220.89285714285717,YES,0.15,True,False,True,0.25
1227,0.05867970660146699,-0.4432241981340634,9.235263500363152,13.0,-453.41083489904213,219.10714285714286,YES,0.15,True,False,True,0.33
1495,0.06488294314381271,-0.43702096159171766,8.656775889028719,13.0,-419.06132565865784,266.9642857142857,YES,0.15,True,True,False,0.0
1450,0.05655172413793103,-0.44535218059759935,8.573131377865964,13.0,-422.9238742540404,258.92857142857144,YES,0.15,True,True,False,0.25
1441,0.05412907702984039,-0.44777482770569,8.566176491040926,13.0,-424.8795547243255,257.3214285714286,YES,0.15,True,True,False,0.33
1262,0.06656101426307448,-0.4353428904724559,9.277723082928995,13.0,-447.3959022194216,225.35714285714286,YES,0.15,True,True,True,0.0
1219,0.05660377358490566,-0.4453001311506247,9.19422079958174,13.0,-453.5100252422642,217.67857142857144,YES,0.15,True,True,True,0.25
1211,0.053674649050371594,-0.44822925568515876,9.187768089743575,13.0,-456.17277625184664,216.25,YES,0.15,True,True,True,0.33
7962,0.21301180607887465,-0.285084289185595,5.551903866005208,12.0,-189.93126807202216,1421.7857142857144,NO,0.06,False,False,False,0.0
7315,0.2202323991797676,-0.277863696084702,5.504835044592293,13.0,-169.43192992545343,1306.25,NO,0.06,False,False,False,0.25
7177,0.21972969207189633,-0.27836640319257333,5.510613240203939,13.0,-169.9166311821352,1281.607142857143,NO,0.06,False,False,False,0.33
7676,0.19867118290776445,-0.2994249123567052,5.704812637823863,12.0,-204.97956289102012,1370.7142857142858,NO,0.06,False,False,True,0.0
7036,0.2048038658328596,-0.29329222943161004,5.665671137515282,13.0,-184.06493381333723,1256.4285714285716,NO,0.06,False,False,True,0.25
6905,0.20434467776973209,-0.29375141749473754,5.670541948729261,13.0,-184.51160145997943,1233.0357142857144,NO,0.06,False,False,True,0.33
7988,0.21094141211817727,-0.28715468314629233,5.527895393676214,12.0,-190.48332602843305,1426.4285714285716,NO,0.06,False,True,False,0.0
7332,0.21835788325150027,-0.27973821201296933,5.487417983614651,13.0,-170.03525486446256,1309.2857142857144,NO,0.06,False,True,False,0.25
7188,0.21800222593210908,-0.2800938693323606,5.496678515469732,13.0,-170.5387518137324,1283.5714285714287,NO,0.06,False,True,False,0.33
7692,0.19617784711388456,-0.3019182481505851,5.684806985537696,12.0,-205.96163593772997,1373.5714285714287,NO,0.06,False,True,True,0.0
7043,0.20275450802214964,-0.29534158724231996,5.6530589477535536,13.0,-184.9384691893588,1257.6785714285716,NO,0.06,False,True,True,0.25
6903,0.20208604954367665,-0.296010045720793,5.663717386296011,13.0,-185.70652531943622,1232.6785714285716,NO,0.06,False,True,True,0.33
